Date,Category,Amount,Description
2024-11-01,Food,50,Groceries at Walmart
2024-11-03,Entertainment,30,Movie tickets
2024-11-05,Transportation,20,Gas for car
2024-11-07,Food,60,Restaurant meal
2024-11-10,Transportation,15,Bus pass
2024-11-12,Entertainment,40,Concert ticket
2024-11-02,Food,35,Groceries at Target
2024-11-04,Transportation,25,Uber ride
2024-11-06,Food,45,Coffee and pastries at cafe
2024-11-08,Entertainment,50,Theater tickets
2024-11-09,Food,55,Takeout dinner from Chinese restaurant
2024-11-11,Transportation,18,Train ticket
2024-11-13,Food,80,Groceries at Whole Foods
2024-11-14,Entertainment,20,Arcade games
2024-11-15,Transportation,30,Parking fee
2024-11-16,Food,40,Lunch with colleagues
2024-11-17,Entertainment,25,Board game purchase
2024-11-18,Food,65,Restaurant dinner
2024-11-19,Transportation,22,Gas for car
2024-11-20,Food,50,Groceries at Kroger
2024-11-21,Entertainment,35,Netflix subscription
2024-11-22,Transportation,28,Taxi ride
2024-11-23,Food,75,Dinner at Italian restaurant
2024-11-24,Transportation,12,Bus fare
2024-11-25,Food,60,Takeout from sushi restaurant
2024-11-26,Entertainment,45,Amusement park ticket
2024-11-27,Food,30,Snacks and drinks at the mall
2024-11-28,Transportation,18,Metro pass
2024-11-29,Food,40,Supermarket shopping
2024-11-30,Entertainment,60,Sports event tickets
2024-12-01,Food,50,Brunch with friends
2024-12-02,Transportation,20,Gas for car
